#where:  mls  (AFGL Atmospheric Constituent Profiles - normalized)
#                                           molecular  concentrations
#what:   z   pressure   temp     H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km     atm        K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppV
   0.00  9.9975E-01   294.20   1.876E-02  3.300E-04  3.017E-08  3.200E-07  1.500E-07  1.700E-06  7.810E-01  2.090E-01
   1.00  8.9020E-01   289.70   1.378E-02  3.300E-04  3.337E-08  3.200E-07  1.450E-07  1.700E-06  7.810E-01  2.090E-01
   2.00  7.9151E-01   285.20   9.680E-03  3.300E-04  3.694E-08  3.200E-07  1.399E-07  1.700E-06  7.810E-01  2.090E-01
   3.00  7.0072E-01   279.20   5.984E-03  3.300E-04  4.222E-08  3.200E-07  1.349E-07  1.700E-06  7.810E-01  2.090E-01
   4.00  6.1979E-01   273.20   3.813E-03  3.300E-04  4.821E-08  3.200E-07  1.312E-07  1.697E-06  7.810E-01  2.090E-01
   5.00  5.4676E-01   267.20   2.225E-03  3.300E-04  5.512E-08  3.200E-07  1.303E-07  1.687E-06  7.810E-01  2.090E-01
   6.00  4.8063E-01   261.20   1.510E-03  3.300E-04  6.408E-08  3.200E-07  1.288E-07  1.672E-06  7.810E-01  2.090E-01
   7.00  4.2043E-01   254.70   1.020E-03  3.300E-04  7.764E-08  3.200E-07  1.247E-07  1.649E-06  7.810E-01  2.090E-01
   8.00  3.6714E-01   248.20   6.464E-04  3.300E-04  9.126E-08  3.195E-07  1.185E-07  1.629E-06  7.810E-01  2.090E-01
   9.00  3.1976E-01   241.70   4.129E-04  3.300E-04  1.111E-07  3.163E-07  1.094E-07  1.615E-06  7.810E-01  2.090E-01
  10.00  2.7733E-01   235.30   2.472E-04  3.300E-04  1.304E-07  3.096E-07  9.962E-08  1.579E-06  7.810E-01  2.090E-01
  11.00  2.3982E-01   228.80   9.556E-05  3.300E-04  1.793E-07  2.989E-07  8.964E-08  1.542E-06  7.810E-01  2.090E-01
  12.00  2.0627E-01   222.30   2.944E-05  3.300E-04  2.230E-07  2.936E-07  7.814E-08  1.508E-06  7.810E-01  2.090E-01
  13.00  1.7666E-01   215.80   8.000E-06  3.300E-04  3.000E-07  2.860E-07  6.374E-08  1.479E-06  7.810E-01  2.090E-01
  14.00  1.5100E-01   215.70   5.000E-06  3.300E-04  4.400E-07  2.800E-07  5.025E-08  1.451E-06  7.810E-01  2.090E-01
