#where:  sas  (AFGL Atmospheric Constituent Profiles - normalized)
#                                           molecular  concentrations
#what:   z   pressure   temp     H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km     atm        K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppV
   0.00  9.9679E-01   287.20   1.194E-02  3.300E-04  2.412E-08  3.100E-07  1.500E-07  1.700E-06  7.810E-01  2.090E-01
   1.00  8.8428E-01   281.70   8.701E-03  3.300E-04  2.940E-08  3.100E-07  1.450E-07  1.700E-06  7.810E-01  2.090E-01
   2.00  7.8253E-01   276.30   6.750E-03  3.300E-04  3.379E-08  3.100E-07  1.399E-07  1.700E-06  7.810E-01  2.090E-01
   3.00  6.9085E-01   270.90   4.820E-03  3.300E-04  3.887E-08  3.100E-07  1.349E-07  1.700E-06  7.810E-01  2.090E-01
   4.00  6.0794E-01   265.50   3.380E-03  3.300E-04  4.478E-08  3.079E-07  1.312E-07  1.697E-06  7.810E-01  2.090E-01
   5.00  5.3393E-01   260.10   2.218E-03  3.300E-04  5.328E-08  3.024E-07  1.303E-07  1.687E-06  7.810E-01  2.090E-01
   6.00  4.6780E-01   253.10   1.330E-03  3.300E-04  6.564E-08  2.906E-07  1.288E-07  1.672E-06  7.810E-01  2.090E-01
   7.00  4.0760E-01   246.10   7.971E-04  3.300E-04  7.738E-08  2.822E-07  1.247E-07  1.649E-06  7.810E-01  2.090E-01
   8.00  3.5431E-01   239.20   3.996E-04  3.300E-04  9.114E-08  2.759E-07  1.185E-07  1.629E-06  7.810E-01  2.090E-01
   9.00  3.0674E-01   232.20   1.300E-04  3.300E-04  1.420E-07  2.703E-07  1.094E-07  1.615E-06  7.810E-01  2.090E-01
  10.00  2.6420E-01   225.20   4.240E-05  3.300E-04  1.890E-07  2.651E-07  9.962E-08  1.579E-06  7.810E-01  2.090E-01
  11.00  2.2699E-01   225.20   1.330E-05  3.300E-04  3.050E-07  2.600E-07  8.964E-08  1.542E-06  7.810E-01  2.090E-01
  12.00  1.9511E-01   225.20   6.000E-06  3.300E-04  4.100E-07  2.549E-07  7.814E-08  1.506E-06  7.810E-01  2.090E-01
  13.00  1.6778E-01   225.20   4.450E-06  3.300E-04  5.000E-07  2.494E-07  6.374E-08  1.471E-06  7.810E-01  2.090E-01
  14.00  1.4409E-01   225.20   4.000E-06  3.300E-04  6.000E-07  2.433E-07  5.025E-08  1.434E-06  7.810E-01  2.090E-01
  15.00  1.2435E-01   225.20   4.000E-06  3.300E-04  7.000E-07  2.355E-07  3.941E-08  1.389E-06  7.810E-01  2.090E-01
  16.00  1.0659E-01   225.20   4.000E-06  3.300E-04  8.500E-07  2.282E-07  3.069E-08  1.342E-06  7.810E-01  2.090E-01
  17.00  9.1586E-02   225.20   4.050E-06  3.300E-04  1.000E-06  2.179E-07  2.489E-08  1.290E-06  7.810E-01  2.090E-01
  18.00  7.8756E-02   225.20   4.300E-06  3.300E-04  1.300E-06  2.035E-07  1.966E-08  1.230E-06  7.810E-01  2.090E-01
  19.00  6.7703E-02   225.20   4.500E-06  3.300E-04  1.700E-06  1.817E-07  1.549E-08  1.157E-06  7.810E-01  2.090E-01
  20.00  5.8228E-02   225.20   4.600E-06  3.300E-04  2.100E-06  1.567E-07  1.331E-08  1.072E-06  7.810E-01  2.090E-01
  21.00  5.0037E-02   225.20   4.700E-06  3.300E-04  2.700E-06  1.350E-07  1.232E-08  9.903E-07  7.810E-01  2.090E-01
  22.00  4.3030E-02   225.20   4.800E-06  3.300E-04  3.300E-06  1.218E-07  1.232E-08  9.170E-07  7.810E-01  2.090E-01
  23.00  3.7010E-02   225.20   4.830E-06  3.300E-04  3.700E-06  1.102E-07  1.307E-08  8.574E-07  7.810E-01  2.090E-01
  24.00  3.1858E-02   226.60   4.850E-06  3.300E-04  4.200E-06  9.893E-08  1.400E-08  8.013E-07  7.810E-01  2.090E-01
  25.00  2.7436E-02   228.10   4.900E-06  3.300E-04  4.500E-06  8.775E-08  1.510E-08  7.477E-07  7.810E-01  2.090E-01
  27.50  1.8979E-02   231.00   4.950E-06  3.300E-04  5.300E-06  7.327E-08  1.649E-08  6.956E-07  7.810E-01  2.090E-01
  30.00  1.3225E-02   235.10   5.000E-06  3.300E-04  5.700E-06  5.941E-08  1.808E-08  6.442E-07  7.810E-01  2.090E-01
  32.50  9.2771E-03   240.00   5.000E-06  3.300E-04  6.900E-06  4.154E-08  1.997E-08  5.888E-07  7.810E-01  2.090E-01
  35.00  6.5236E-03   247.20   5.000E-06  3.300E-04  7.700E-06  3.032E-08  2.183E-08  5.240E-07  7.810E-01  2.090E-01
  37.50  4.6583E-03   254.60   5.000E-06  3.300E-04  7.800E-06  1.949E-08  2.343E-08  4.506E-07  7.810E-01  2.090E-01
  40.00  3.3555E-03   262.10   5.000E-06  3.300E-04  7.000E-06  1.274E-08  2.496E-08  3.708E-07  7.810E-01  2.090E-01
  42.50  2.4476E-03   269.50   5.000E-06  3.300E-04  5.400E-06  9.001E-09  2.647E-08  2.992E-07  7.810E-01  2.090E-01
  45.00  1.7962E-03   273.60   5.000E-06  3.300E-04  4.200E-06  6.286E-09  2.809E-08  2.445E-07  7.810E-01  2.090E-01
  47.50  1.3225E-03   276.20   5.000E-06  3.300E-04  3.200E-06  4.558E-09  2.999E-08  2.000E-07  7.810E-01  2.090E-01
  50.00  9.7409E-04   277.20   4.950E-06  3.300E-04  2.500E-06  2.795E-09  3.220E-08  1.660E-07  7.810E-01  2.090E-01
  55.00  5.2998E-04   274.00   4.850E-06  3.300E-04  1.700E-06  1.765E-09  3.650E-08  1.500E-07  7.810E-01  2.090E-01
  60.00  2.8423E-04   262.70   4.500E-06  3.300E-04  1.200E-06  1.214E-09  4.589E-08  1.500E-07  7.810E-01  2.090E-01
  65.00  1.4508E-04   239.70   4.000E-06  3.300E-04  8.000E-07  8.866E-10  6.375E-08  1.500E-07  7.810E-01  2.090E-01
  70.00  7.0072E-05   216.60   3.300E-06  3.300E-04  4.000E-07  6.756E-10  1.176E-07  1.500E-07  7.810E-01  2.090E-01
  75.00  3.1582E-05   193.60   2.700E-06  3.300E-04  2.000E-07  5.538E-10  3.033E-07  1.500E-07  7.810E-01  2.090E-01
  80.00  1.2337E-05   170.60   2.000E-06  3.280E-04  1.800E-07  4.649E-10  7.894E-07  1.500E-07  7.810E-01  2.090E-01
  85.00  4.4510E-06   161.70   1.330E-06  3.200E-04  6.500E-07  3.979E-10  1.823E-06  1.500E-07  7.810E-01  2.000E-01
  90.00  1.5889E-06   161.60   8.500E-07  3.100E-04  9.000E-07  3.459E-10  3.402E-06  1.400E-07  7.800E-01  1.900E-01
  95.00  5.9808E-07   176.80   5.400E-07  2.700E-04  8.000E-07  3.047E-10  5.916E-06  1.300E-07  7.790E-01  1.800E-01
 100.00  2.4476E-07   190.40   4.000E-07  1.950E-04  4.000E-07  2.713E-10  1.043E-05  1.200E-07  7.770E-01  1.600E-01
 105.00  1.1152E-07   226.00   3.400E-07  1.100E-04  2.000E-07  2.439E-10  1.881E-05  1.100E-07  7.740E-01  1.400E-01
 110.00  5.9215E-08   270.10   2.800E-07  6.000E-05  5.000E-08  2.210E-10  2.869E-05  9.500E-08  7.700E-01  1.200E-01
 115.00  3.4937E-08   322.70   2.400E-07  4.000E-05  5.000E-09  2.017E-10  3.892E-05  6.000E-08  7.650E-01  9.400E-02
 120.00  2.2304E-08   380.00   2.000E-07  3.500E-05  5.000E-10  1.851E-10  5.000E-05  3.000E-08  7.600E-01  7.250E-02
