#where:  saw  (AFGL Atmospheric Constituent Profiles - normalized)
#                                           molecular  concentrations
#what:   z   pressure   temp     H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km     atm        K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppV
   0.00  9.9975E-01   257.20   1.405E-03  3.300E-04  1.802E-08  3.200E-07  1.500E-07  1.700E-06  7.810E-01  2.090E-01
   1.00  8.7619E-01   259.10   1.615E-03  3.300E-04  2.072E-08  3.200E-07  1.450E-07  1.700E-06  7.810E-01  2.090E-01
   2.00  7.6733E-01   255.90   1.427E-03  3.300E-04  2.336E-08  3.200E-07  1.399E-07  1.700E-06  7.810E-01  2.090E-01
   3.00  6.7091E-01   252.70   1.166E-03  3.300E-04  2.767E-08  3.200E-07  1.349E-07  1.700E-06  7.810E-01  2.090E-01
   4.00  5.8544E-01   247.70   7.898E-04  3.300E-04  3.253E-08  3.200E-07  1.312E-07  1.697E-06  7.810E-01  2.090E-01
   5.00  5.0906E-01   240.90   4.309E-04  3.300E-04  3.801E-08  3.200E-07  1.303E-07  1.687E-06  7.810E-01  2.090E-01
   6.00  4.4086E-01   234.10   2.369E-04  3.300E-04  4.446E-08  3.200E-07  1.288E-07  1.672E-06  7.810E-01  2.090E-01
   7.00  3.8026E-01   227.30   1.470E-04  3.300E-04  7.252E-08  3.200E-07  1.247E-07  1.649E-06  7.810E-01  2.090E-01
   8.00  3.2647E-01   220.60   3.384E-05  3.300E-04  1.040E-07  3.195E-07  1.185E-07  1.629E-06  7.810E-01  2.090E-01
   9.00  2.7920E-01   217.20   2.976E-05  3.300E-04  2.100E-07  3.163E-07  1.094E-07  1.615E-06  7.810E-01  2.090E-01
  10.00  2.3864E-01   217.20   2.000E-05  3.300E-04  3.000E-07  3.096E-07  9.962E-08  1.579E-06  7.810E-01  2.090E-01
  11.00  2.0400E-01   217.20   1.000E-05  3.300E-04  3.500E-07  2.989E-07  8.964E-08  1.542E-06  7.810E-01  2.090E-01
  12.00  1.7429E-01   217.20   6.000E-06  3.300E-04  4.000E-07  2.936E-07  7.814E-08  1.506E-06  7.810E-01  2.090E-01
  13.00  1.4903E-01   217.20   4.450E-06  3.300E-04  6.500E-07  2.860E-07  6.374E-08  1.471E-06  7.810E-01  2.090E-01
  14.00  1.2741E-01   217.20   4.500E-06  3.300E-04  9.000E-07  2.800E-07  5.025E-08  1.434E-06  7.810E-01  2.090E-01
  15.00  1.0886E-01   217.20   4.550E-06  3.300E-04  1.200E-06  2.724E-07  3.941E-08  1.389E-06  7.810E-01  2.090E-01
  16.00  9.3077E-02   216.60   4.600E-06  3.300E-04  1.500E-06  2.611E-07  3.069E-08  1.342E-06  7.810E-01  2.090E-01
  17.00  7.9526E-02   216.00   4.650E-06  3.300E-04  1.900E-06  2.421E-07  2.489E-08  1.290E-06  7.810E-01  2.090E-01
  18.00  6.7920E-02   215.40   4.700E-06  3.300E-04  2.450E-06  2.174E-07  1.966E-08  1.230E-06  7.810E-01  2.090E-01
  19.00  5.7982E-02   214.80   4.750E-06  3.300E-04  3.100E-06  1.843E-07  1.549E-08  1.161E-06  7.810E-01  2.090E-01
  20.00  4.9484E-02   214.20   4.800E-06  3.300E-04  3.700E-06  1.621E-07  1.331E-08  1.084E-06  7.810E-01  2.090E-01
  21.00  4.2211E-02   213.60   4.850E-06  3.300E-04  4.000E-06  1.362E-07  1.232E-08  1.014E-06  7.810E-01  2.090E-01
  22.00  3.5993E-02   213.00   4.900E-06  3.300E-04  4.200E-06  1.230E-07  1.232E-08  9.561E-07  7.810E-01  2.090E-01
  23.00  3.0683E-02   212.40   4.950E-06  3.300E-04  4.500E-06  1.122E-07  1.307E-08  9.009E-07  7.810E-01  2.090E-01
