#where:  tro  (AFGL Atmospheric Constituent Profiles - normalized)
#                                           molecular  concentrations
#what:   z   pressure   temp     H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km     atm        K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppV
   0.00  9.9975E-01   299.70   2.593E-02  3.300E-04  2.869E-08  3.200E-07  1.500E-07  1.700E-06  7.810E-01  2.090E-01
   1.00  8.9218E-01   293.70   1.949E-02  3.300E-04  3.150E-08  3.200E-07  1.450E-07  1.700E-06  7.810E-01  2.090E-01
   2.00  7.9447E-01   287.70   1.534E-02  3.300E-04  3.342E-08  3.200E-07  1.399E-07  1.700E-06  7.810E-01  2.090E-01
   3.00  7.0565E-01   283.70   8.600E-03  3.300E-04  3.504E-08  3.200E-07  1.349E-07  1.700E-06  7.810E-01  2.090E-01
   4.00  6.2472E-01   277.00   4.441E-03  3.300E-04  3.561E-08  3.200E-07  1.312E-07  1.700E-06  7.810E-01  2.090E-01
   5.00  5.5169E-01   270.30   3.346E-03  3.300E-04  3.767E-08  3.200E-07  1.303E-07  1.700E-06  7.810E-01  2.090E-01
   6.00  4.8557E-01   263.60   2.101E-03  3.300E-04  3.989E-08  3.200E-07  1.288E-07  1.700E-06  7.810E-01  2.090E-01
   7.00  4.2635E-01   257.00   1.289E-03  3.300E-04  4.223E-08  3.200E-07  1.247E-07  1.699E-06  7.810E-01  2.090E-01
   8.00  3.7306E-01   250.30   7.637E-04  3.300E-04  4.471E-08  3.200E-07  1.185E-07  1.697E-06  7.810E-01  2.090E-01
   9.00  3.2470E-01   243.60   4.098E-04  3.300E-04  5.000E-08  3.195E-07  1.094E-07  1.693E-06  7.810E-01  2.090E-01
  10.00  2.8226E-01   237.00   1.912E-04  3.300E-04  5.595E-08  3.179E-07  9.962E-08  1.685E-06  7.810E-01  2.090E-01
  11.00  2.4377E-01   230.10   7.306E-05  3.300E-04  6.613E-08  3.140E-07  8.964E-08  1.675E-06  7.810E-01  2.090E-01
  12.00  2.1021E-01   223.60   2.905E-05  3.300E-04  7.815E-08  3.095E-07  7.814E-08  1.662E-06  7.810E-01  2.090E-01
  13.00  1.7962E-01   217.00   9.900E-06  3.300E-04  9.289E-08  3.048E-07  6.374E-08  1.645E-06  7.810E-01  2.090E-01
  14.00  1.5396E-01   210.30   6.220E-06  3.300E-04  1.050E-07  2.999E-07  5.025E-08  1.626E-06  7.810E-01  2.090E-01
  15.00  1.3027E-01   203.70   4.000E-06  3.300E-04  1.256E-07  2.944E-07  3.941E-08  1.605E-06  7.810E-01  2.090E-01
  16.00  1.0955E-01   197.00   3.000E-06  3.300E-04  1.444E-07  2.877E-07  3.069E-08  1.582E-06  7.810E-01  2.090E-01
  17.00  9.2475E-02   194.80   2.900E-06  3.300E-04  2.500E-07  2.783E-07  2.489E-08  1.553E-06  7.810E-01  2.090E-01
  18.00  7.7868E-02   198.80   2.750E-06  3.300E-04  5.000E-07  2.671E-07  1.966E-08  1.521E-06  7.810E-01  2.090E-01
  19.00  6.5729E-02   202.70   2.600E-06  3.300E-04  9.500E-07  2.527E-07  1.549E-08  1.480E-06  7.810E-01  2.090E-01
  20.00  5.5761E-02   206.70   2.600E-06  3.300E-04  1.400E-06  2.365E-07  1.331E-08  1.424E-06  7.810E-01  2.090E-01
  21.00  4.7372E-02   210.70   2.650E-06  3.300E-04  1.800E-06  2.194E-07  1.232E-08  1.355E-06  7.810E-01  2.090E-01
  22.00  4.0365E-02   214.60   2.800E-06  3.300E-04  2.400E-06  2.051E-07  1.232E-08  1.272E-06  7.810E-01  2.090E-01
  23.00  3.4542E-02   217.00   2.900E-06  3.300E-04  3.400E-06  1.967E-07  1.307E-08  1.191E-06  7.810E-01  2.090E-01
  24.00  2.9608E-02   219.20   3.200E-06  3.300E-04  4.300E-06  1.875E-07  1.400E-08  1.118E-06  7.810E-01  2.090E-01
  25.00  2.5364E-02   221.40   3.250E-06  3.300E-04  5.400E-06  1.756E-07  1.521E-08  1.055E-06  7.810E-01  2.090E-01
  27.50  1.7399E-02   227.00   3.600E-06  3.300E-04  7.800E-06  1.588E-07  1.722E-08  9.870E-07  7.810E-01  2.090E-01
  30.00  1.2040E-02   232.30   4.000E-06  3.300E-04  9.300E-06  1.416E-07  1.995E-08  9.136E-07  7.810E-01  2.090E-01
  32.50  8.4086E-03   237.70   4.300E-06  3.300E-04  9.850E-06  1.165E-07  2.266E-08  8.300E-07  7.810E-01  2.090E-01
  35.00  5.9215E-03   243.10   4.600E-06  3.300E-04  9.700E-06  9.275E-08  2.487E-08  7.460E-07  7.810E-01  2.090E-01
  37.50  4.2043E-03   248.50   4.900E-06  3.300E-04  8.800E-06  6.693E-08  2.738E-08  6.618E-07  7.810E-01  2.090E-01
  40.00  3.0101E-03   254.00   5.200E-06  3.300E-04  7.500E-06  4.513E-08  3.098E-08  5.638E-07  7.810E-01  2.090E-01
  42.50  2.1712E-03   259.40   5.500E-06  3.300E-04  5.900E-06  2.751E-08  3.510E-08  4.614E-07  7.810E-01  2.090E-01
  45.00  1.5692E-03   264.80   5.700E-06  3.300E-04  4.500E-06  1.591E-08  3.987E-08  3.631E-07  7.810E-01  2.090E-01
  47.50  1.1448E-03   269.60   5.900E-06  3.300E-04  3.450E-06  9.378E-09  4.482E-08  2.773E-07  7.810E-01  2.090E-01
  50.00  8.4283E-04   270.20   6.000E-06  3.300E-04  2.800E-06  4.752E-09  5.092E-08  2.100E-07  7.810E-01  2.090E-01
  55.00  4.5004E-04   263.40   6.000E-06  3.300E-04  1.800E-06  3.000E-09  5.985E-08  1.651E-07  7.810E-01  2.090E-01
  60.00  2.3587E-04   253.10   6.000E-06  3.300E-04  1.100E-06  2.065E-09  6.960E-08  1.500E-07  7.810E-01  2.090E-01
  65.00  1.1942E-04   236.00   5.400E-06  3.300E-04  6.500E-07  1.507E-09  9.188E-08  1.500E-07  7.810E-01  2.090E-01
  70.00  5.7242E-05   218.90   4.500E-06  3.300E-04  3.000E-07  1.149E-09  1.938E-07  1.500E-07  7.810E-01  2.090E-01
  75.00  2.5660E-05   201.80   3.300E-06  3.300E-04  1.800E-07  8.890E-10  5.688E-07  1.500E-07  7.810E-01  2.090E-01
  80.00  1.0856E-05   184.80   2.100E-06  3.280E-04  3.300E-07  7.056E-10  1.549E-06  1.500E-07  7.810E-01  2.090E-01
  85.00  4.3425E-06   177.10   1.300E-06  3.200E-04  5.000E-07  5.716E-10  3.849E-06  1.500E-07  7.810E-01  2.000E-01
  90.00  1.6975E-06   177.00   8.500E-07  3.100E-04  5.200E-07  4.708E-10  6.590E-06  1.400E-07  7.800E-01  1.900E-01
  95.00  6.7900E-07   184.30   5.400E-07  2.700E-04  5.000E-07  3.932E-10  1.044E-05  1.300E-07  7.790E-01  1.800E-01
 100.00  2.8522E-07   190.70   4.000E-07  1.950E-04  4.000E-07  3.323E-10  1.705E-05  1.200E-07  7.770E-01  1.600E-01
 105.00  1.2830E-07   212.00   3.400E-07  1.100E-04  2.000E-07  2.837E-10  2.471E-05  1.100E-07  7.740E-01  1.400E-01
 110.00  6.3854E-08   241.60   2.800E-07  6.000E-05  5.000E-08  2.443E-10  3.358E-05  9.500E-08  7.700E-01  1.200E-01
 115.00  3.5529E-08   299.70   2.400E-07  4.000E-05  5.000E-09  2.120E-10  4.148E-05  6.000E-08  7.650E-01  9.400E-02
 120.00  2.2206E-08   380.00   2.000E-07  3.500E-05  5.000E-10  1.851E-10  5.000E-05  3.000E-08  7.600E-01  7.250E-02
