#where:  uss  (AFGL Atmospheric Constituent Profiles - normalized)
#                                           molecular  concentrations
#what:   z   pressure   temp     H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km     atm        K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppV
   0.00  9.9975E-01   288.20   7.745E-03  3.300E-04  2.660E-08  3.200E-07  1.500E-07  1.700E-06  0.000E+00  2.090E-01
   1.00  8.8705E-01   281.70   6.071E-03  3.300E-04  2.931E-08  3.200E-07  1.450E-07  1.700E-06  0.000E+00  2.090E-01
   2.00  7.8460E-01   275.20   4.631E-03  3.300E-04  3.237E-08  3.200E-07  1.400E-07  1.700E-06  0.000E+00  2.090E-01
   3.00  6.9203E-01   268.70   3.182E-03  3.300E-04  3.318E-08  3.200E-07  1.350E-07  1.700E-06  0.000E+00  2.090E-01
   4.00  6.0854E-01   262.20   2.158E-03  3.300E-04  3.387E-08  3.200E-07  1.310E-07  1.700E-06  0.000E+00  2.090E-01
   5.00  5.3343E-01   255.70   1.397E-03  3.300E-04  3.768E-08  3.200E-07  1.300E-07  1.700E-06  0.000E+00  2.090E-01
   6.00  4.6603E-01   249.20   9.250E-04  3.300E-04  4.112E-08  3.200E-07  1.290E-07  1.700E-06  0.000E+00  2.090E-01
   7.00  4.0572E-01   242.70   5.720E-04  3.300E-04  5.009E-08  3.200E-07  1.250E-07  1.700E-06  0.000E+00  2.090E-01
   8.00  3.5184E-01   236.20   3.670E-04  3.300E-04  5.966E-08  3.200E-07  1.190E-07  1.700E-06  0.000E+00  2.090E-01
   9.00  3.0397E-01   229.70   1.580E-04  3.300E-04  9.168E-08  3.190E-07  1.090E-07  1.690E-06  0.000E+00  2.090E-01
  10.00  2.6153E-01   223.30   7.000E-05  3.300E-04  1.310E-07  3.180E-07  9.962E-08  1.680E-06  0.000E+00  2.090E-01
  11.00  2.2403E-01   216.80   3.610E-05  3.300E-04  2.150E-07  3.140E-07  8.964E-08  1.670E-06  0.000E+00  2.090E-01
  12.00  1.9146E-01   216.70   1.910E-05  3.300E-04  3.100E-07  3.100E-07  7.814E-08  1.660E-06  0.000E+00  2.090E-01
  13.00  1.6363E-01   216.70   1.090E-05  3.300E-04  3.850E-07  3.050E-07  6.374E-08  1.640E-06  0.000E+00  2.090E-01
  14.00  1.3985E-01   216.70   5.930E-06  3.300E-04  5.030E-07  3.000E-07  5.025E-08  1.630E-06  0.000E+00  2.090E-01
  15.00  1.1952E-01   216.70   5.000E-06  3.300E-04  6.500E-07  2.940E-07  3.941E-08  1.610E-06  0.000E+00  2.090E-01
  16.00  1.0215E-01   216.70   3.950E-06  3.300E-04  8.700E-07  2.880E-07  3.069E-08  1.580E-06  0.000E+00  2.090E-01
  17.00  8.7343E-02   216.70   3.850E-06  3.300E-04  1.190E-06  2.780E-07  2.489E-08  1.550E-06  0.000E+00  2.090E-01
  18.00  7.4661E-02   216.70   3.830E-06  3.300E-04  1.590E-06  2.670E-07  1.966E-08  1.520E-06  0.000E+00  2.090E-01
  19.00  6.3824E-02   216.70   3.850E-06  3.300E-04  2.030E-06  2.530E-07  1.549E-08  1.480E-06  0.000E+00  2.090E-01
  20.00  5.4567E-02   216.70   3.900E-06  3.300E-04  2.580E-06  2.360E-07  1.331E-08  1.420E-06  0.000E+00  2.090E-01
  21.00  4.6672E-02   217.60   3.970E-06  3.300E-04  3.030E-06  2.190E-07  1.232E-08  1.360E-06  0.000E+00  2.090E-01
  22.00  3.9941E-02   218.60   4.070E-06  3.300E-04  3.650E-06  2.050E-07  1.232E-08  1.270E-06  0.000E+00  2.090E-01
  23.00  3.4217E-02   219.60   4.200E-06  3.300E-04  4.170E-06  1.970E-07  1.307E-08  1.190E-06  0.000E+00  2.090E-01
  24.00  2.9331E-02   220.60   4.300E-06  3.300E-04  4.630E-06  1.880E-07  1.400E-08  1.120E-06  0.000E+00  2.090E-01
  25.00  2.5157E-02   221.60   4.430E-06  3.300E-04  5.120E-06  1.760E-07  1.498E-08  1.050E-06  0.000E+00  2.090E-01
  27.50  1.7202E-02   224.00   4.570E-06  3.300E-04  5.800E-06  1.590E-07  1.598E-08  9.870E-07  0.000E+00  2.090E-01
  30.00  1.1813E-02   226.50   4.720E-06  3.300E-04  6.550E-06  1.420E-07  1.710E-08  9.140E-07  0.000E+00  2.090E-01
  32.50  7.9053E-03   230.00   4.820E-06  3.300E-04  7.370E-06  1.160E-07  1.850E-08  8.300E-07  0.000E+00  2.090E-01
  35.00  5.6709E-03   236.50   4.900E-06  3.300E-04  7.840E-06  9.275E-08  2.009E-08  7.460E-07  0.000E+00  2.090E-01
  37.50  4.0957E-03   242.90   4.950E-06  3.300E-04  7.800E-06  6.693E-08  2.220E-08  6.620E-07  0.000E+00  2.090E-01
  40.00  2.8335E-03   250.40   5.030E-06  3.300E-04  7.300E-06  4.513E-08  2.497E-08  5.640E-07  0.000E+00  2.090E-01
  42.50  2.0331E-03   257.30   5.150E-06  3.300E-04  6.200E-06  2.751E-08  2.824E-08  4.610E-07  0.000E+00  2.090E-01
  45.00  1.4715E-03   264.20   5.220E-06  3.300E-04  5.250E-06  1.591E-08  3.241E-08  3.630E-07  0.000E+00  2.090E-01
  47.50  1.0757E-03   270.60   5.250E-06  3.300E-04  4.100E-06  9.378E-09  3.717E-08  2.770E-07  0.000E+00  2.090E-01
  50.00  7.8737E-04   270.70   5.220E-06  3.300E-04  3.100E-06  4.752E-09  4.597E-08  2.100E-07  0.000E+00  2.090E-01
